employee_id,fullname,area,position,department,division,directorate,grade,education,major,years_of_service_months,CEX,CSI,FTC,GDR,IDS,LIE,QDD,SEA,STO,VCU,rating_2025,iq,mbti,pauli,faxtor,disc,qtq,tiki,Papi_A,Papi_B,Papi_C,Papi_D,Papi_E,Papi_F,Papi_G,Papi_I,Papi_K,Papi_L,Papi_N,Papi_O,Papi_P,Papi_R,Papi_S,Papi_T,Papi_V,Papi_W,Papi_X,Papi_Z,strength_1,strength_2,strength_3,strength_4,strength_5,tenure_years,competency_mean,cognitive_index,is_top_performer,strength_count,grade_num,strength_match_score,success_score
EMP100010,Maya Jatmiko Handayani,Plant,HRBP,IT,Operations,HR & Corp Affairs,V,D3,Engineering,29,0.050505051,0.040816327,4,,0.050505051,4,5,0.050505051,4,,5,84,ESTJ,43,61,CI,42,2,5,7,5,3,6,6,6,0.75,4,,2,5,0.5,2,,,5,0.875,3,5,Activator,Includer,Arranger,Developer,Restorative,0.194630872,4.625,0.517795637,1,5,1,2,
EMP100011,Fajar Halim,Distribution,Finance Officer,Operations,Operations,Technology,V,S1,Business,51,,0.040816327,5,4,0,5,,0.050505051,4,0.050505051,5,125,ENFP,45,31,DI,31,10,,2,2,5,3,8,9,0.375,3,,,1,0.625,6,7,5,6,0.75,6,6,Empathy,Intellection,Activator,Deliberative,Adaptability,0.342281879,4.125,0.552238806,1,5,1,2,
EMP100012,Rendra Tri Purnama,HQ,Data Analyst,IT,Operations,Commercial,IV,SMA,Statistics,3,0.02020202,0.020408163,3,4,0.04040404,3,4,0.04040404,2,0.03030303,5,108,ISFJ,20,70,DS,43,10,4,2,6,7,7,4,1,0.5,1,7,8,1,0.5,1,5,1,3,,6,4,Belief,Empathy,Focus,Positivity,Discipline,0.020134228,3.2,0.583237658,1,5,0.5,0,
EMP100013,Maya Mahendra,Store,Supply Planner,HR,Digital Marketing,HR & Corp Affairs,V,D3,Engineering,3,0.02020202,,3,2,0.02020202,2,2,0.03030303,3,0.060606061,2,124,ENTP,88,32,IC,33,9,3,3,7,9,8,4,,0.25,3,4,5,1,0.75,4,3,9,4,0.125,,7,,Consistency,Adaptability,Restorative,Connectedness,0.020134228,2.777777778,0.703788749,0,4,1,1,
EMP100014,Wahyu Indrawan,Plant,Supply Planner,Finance,Product Dev,Commercial,IV,SMA,Design,65,0.03030303,0.010204082,2,3,0.03030303,3,3,0.03030303,2,0.03030303,3,92,ISTJ,92,54,SI,24,7,5,5,9,9,8,,4,0.75,5,1,8,8,0.75,,,2,,0.125,9,2,Empathy,Maximizer,Focus,Significance,Restorative,0.436241611,2.7,0.645235362,0,5,0.5,1,32.32504281
EMP100015,Zahra Utama Setiawan,HQ,Finance Officer,Marketing,Talent Management,HR & Corp Affairs,V,S1,Business,28,0.04040404,0.020408163,4,4,0.03030303,4,4,0.04040404,4,0.04040404,,,ENFP,65,77,DC,,7,,5,7,,6,7,3,0,1,6,9,7,1,9,1,5,3,0.75,2,6,Restorative,Analytical,Significance,Achiever,Responsibility,0.187919463,3.8,0.574052813,0,5,1,1,32.93177459
EMP100016,Dinda Pramudita Ginting,Store,Supply Planner,R&D,Talent Management,HR & Corp Affairs,IV,D3,Economics,39,0.03030303,0.020408163,2,1,0.02020202,2,3,0.01010101,1,0.03030303,2,97,ISTP,83,93,SI,34,5,1,2,,3,6,4,3,0,8,5,6,8,1,8,3,2,6,0.375,7,,Adaptability,Relator,Discipline,Futuristic,Input,0.261744966,2.1,0.793340987,0,5,0.5,1,32.07080405
EMP100017,Fajar Mahendra,Distribution,HRBP,IT,Digital Marketing,HR & Corp Affairs,V,S1,Design,95,0.04040404,0.030612245,4,4,,5,4,0.04040404,3,0.03030303,4,107,ENTJ,55,80,CS,31,1,4,2,6,5,8,3,7,0.375,1,1,2,6,0.625,1,6,1,3,0.25,,5,Individualization,Positivity,Input,Communication,Empathy,0.637583893,3.888888889,0.662456946,0,5,1,0,
EMP100018,Arif Ginting,Plant,Sales Supervisor,IT,Talent Management,Technology,IV,D3,Statistics,53,0.03030303,0.010204082,2,2,0.02020202,2,2,0.02020202,,0.02020202,2,,ESFJ,66,69,SC,28,3,1,8,1,6,5,1,6,0,4,6,8,8,0.75,8,5,9,6,1,9,,Harmony,Arranger,Connectedness,Input,Discipline,0.355704698,2.111111111,0.433409874,0,5,0.5,0,14.80536599
EMP100019,Rizki Iqbal Gunawan,Store,HRBP,HR,Digital Marketing,HR & Corp Affairs,III,S2,Statistics,27,,0.020408163,3,2,0.03030303,3,3,0.03030303,3,0.03030303,3,125,ISTP,28,72,CD,23,10,2,7,4,7,6,9,9,0.75,2,1,1,3,1,8,4,3,3,,4,4,Strategic,Discipline,Arranger,,Empathy,0.181208054,2.888888889,0.607347876,0,4,0,0,
EMP100020,Yoga Erlangga Hartanto,Plant,Brand Executive,R&D,Sales,Commercial,IV,SMA,Psychology,31,0.04040404,0.030612245,3,,0.050505051,4,4,0.050505051,4,0.04040404,4,132,ENFP,83,83,DC,33,1,3,,6,,1,8,9,0,6,2,7,5,0.5,5,9,1,4,0.125,1,9,Includer,Command,Adaptability,Analytical,,0.208053691,4.111111111,0.862227325,0,4,0.5,0,16.05516694
EMP100021,Oka Candra Kurniawan,Plant,Brand Executive,Marketing,Product Dev,HR & Corp Affairs,V,S1,Statistics,81,0.04040404,0.030612245,4,4,0.04040404,,4,0.03030303,4,0.04040404,,,INFP,22,34,CS,,2,5,6,2,6,8,5,6,,2,3,9,4,0,6,5,1,2,0,6,2,Significance,Activator,Futuristic,Self-Assurance,Responsibility,0.543624161,3.888888889,0.051664753,0,5,1,3,
EMP100022,Oka Nugroho,Distribution,Data Analyst,IT,Digital Marketing,HR & Corp Affairs,IV,S2,Economics,53,0.03030303,0.030612245,4,4,0.050505051,4,4,0.04040404,4,0.04040404,4,91,ISTP,49,94,,35,8,2,3,7,8,3,7,3,0,,6,,7,0.875,9,5,1,8,0.5,,2,Discipline,Self-Assurance,Strategic,Input,Includer,0.355704698,4,0.672789897,0,5,0.5,1,32.25132042
EMP100023,Adit Kurniawan,HQ,Finance Officer,HR,Digital Marketing,HR & Corp Affairs,IV,SMA,Business,49,0.04040404,0.010204082,,3,0.03030303,4,3,0.03030303,2,0.04040404,3,139,ESTJ,86,52,DC,30,5,2,1,7,4,9,4,5,0.25,3,5,7,2,0.25,4,,2,6,0.875,5,1,Arranger,Strategic,Futuristic,Self-Assurance,Focus,0.32885906,3.111111111,0.793340987,0,5,0.5,2,47.22120652
EMP100024,Rendra Candra Maulida,Distribution,Sales Supervisor,IT,Operations,HR & Corp Affairs,IV,S2,Engineering,44,0.050505051,0.030612245,5,5,0.050505051,5,5,0.04040404,4,0.050505051,5,134,ESTP,64,23,CD,23,5,6,3,5,3,3,9,6,0.125,1,7,6,5,0.25,8,8,9,1,0.125,2,2,Connectedness,Adaptability,Competition,Context,,0.295302013,4.7,0.576349024,1,4,0.5,0,13.05813059
EMP100025,Rizky Dharma Purnama,Plant,Brand Executive,HR,Talent Management,Technology,V,S1,Design,20,0.03030303,0.020408163,,3,0.03030303,3,4,,4,0.03030303,,,ESTJ,53,71,CS,34,8,8,8,6,7,,2,7,0.25,,9,4,5,0.875,3,1,2,7,0.375,7,8,Adaptability,Relator,Strategic,,Positivity,0.134228188,3.25,0.433409874,0,4,1,0,
EMP100026,Wulan Yudhistira Tamba,Distribution,HRBP,HR,Talent Management,HR & Corp Affairs,IV,SMA,Economics,65,0.050505051,0.030612245,4,5,0.050505051,5,4,0.050505051,5,0.050505051,5,107,ESFJ,96,37,IS,32,4,7,8,5,2,6,9,4,0,7,2,7,5,0.625,4,7,3,5,0.75,9,,Competition,Harmony,Deliberative,Focus,Maximizer,0.436241611,4.7,0.66934558,1,5,0.5,0,17.84430929
EMP100027,Oka Rohman,Plant,Data Analyst,Finance,Talent Management,Commercial,V,S2,Design,132,0.01010101,0.010204082,1,2,0.01010101,1,1,0.01010101,1,0.02020202,1,97,INFP,93,76,SC,18,9,,9,9,,6,2,6,0.625,5,5,1,6,1,2,1,6,3,0.5,4,2,Discipline,Includer,Command,Arranger,Deliberative,0.88590604,1.3,0.727898967,0,5,1,0,22.7409101
EMP100028,Nadia Saputra,Distribution,Finance Officer,IT,Sales,Commercial,IV,SMA,Psychology,22,,0.030612245,4,3,0.03030303,3,3,0.03030303,3,0.03030303,3,107,INFP,95,71,SI,20,3,2,,2,3,3,9,5,0.125,3,9,6,1,0,9,3,4,8,1,3,4,Deliberative,Significance,Arranger,Strategic,Communication,0.147651007,3.222222222,0.738231917,0,5,0.5,0,
EMP100029,Satya Adi Hasibuan,Plant,Sales Supervisor,R&D,Talent Management,Commercial,III,D3,Psychology,32,0.02020202,0.030612245,4,3,0.03030303,3,4,0.02020202,3,0.03030303,,105,INTP,93,85,DC,29,10,3,2,7,4,2,5,6,,1,4,2,2,0.125,,7,,4,0.25,,9,Maximizer,Ideation,Intellection,Individualization,Learner,0.214765101,3.1,0.827784156,0,5,0,1,
EMP100030,Rizky Anugrah Permadi,Distribution,Sales Supervisor,IT,Sales,HR & Corp Affairs,V,S2,Engineering,56,0.03030303,0.020408163,3,,0.03030303,2,4,,3,0.03030303,3,110,ESTJ,46,100,DS,22,4,8,8,4,7,4,8,2,0.375,4,3,6,2,1,3,4,3,8,0.125,7,3,Restorative,Responsibility,Input,Intellection,Relator,0.375838926,3,0.690011481,0,5,1,2,
EMP100031,Julia Nabila Kurniawan,Store,Finance Officer,HR,Sales,Technology,IV,SMA,Design,34,0.02020202,0.010204082,2,2,0.02020202,2,2,0.02020202,3,0.02020202,2,103,INTJ,34,93,CD,35,3,,2,2,5,4,2,2,0.625,5,5,6,4,0.125,3,6,1,7,0.5,6,3,Maximizer,Arranger,Responsibility,,Includer,0.228187919,2.1,0.641791045,0,4,0.5,0,14.00538169
EMP100032,Galih Mahardika Purnama,Distribution,Finance Officer,R&D,Product Dev,Technology,III,SMA,Design,34,0.03030303,0.020408163,2,,0.02020202,3,2,,3,0.03030303,3,,ENTJ,29,85,DS,36,7,6,3,7,3,,6,3,0.5,3,6,9,4,0.75,1,6,1,9,0.25,8,7,Maximizer,Learner,,Discipline,Individualization,0.228187919,2.625,0.394661309,0,4,0,0,
EMP100033,Ahmad Simanjuntak,HQ,Sales Supervisor,IT,Digital Marketing,Technology,IV,SMA,Economics,37,0.03030303,0.010204082,2,2,0.01010101,3,1,0.02020202,,0.01010101,2,117,ENFP,53,83,ID,23,6,5,,,1,2,3,1,1,2,6,5,3,1,5,7,1,2,0.5,7,2,Futuristic,Discipline,Input,Individualization,Includer,0.248322148,1.888888889,0.690011481,0,5,0.5,1,34.11224709
EMP100034,Ari Adi Ginting,Store,Supply Planner,Operations,Talent Management,HR & Corp Affairs,III,SMA,Business,86,0.03030303,0.030612245,3,2,0.03030303,3,3,0.04040404,3,0.03030303,,116,ENFP,34,35,DS,35,5,,3,4,3,5,5,1,,5,2,2,7,0.875,5,8,6,4,0.625,3,2,Achiever,Self-Assurance,Relator,Significance,Competition,0.577181208,3.1,0.493685419,0,5,0,1,
EMP100035,Oka Tamba,Store,Brand Executive,Operations,Sales,Technology,V,S1,Engineering,57,0.03030303,0.010204082,2,2,,1,2,,2,0.01010101,2,103,,84,36,DI,28,7,5,9,3,1,5,3,9,,3,1,3,9,0.625,7,4,3,1,0.125,,2,Command,Includer,,,Adaptability,0.382550336,1.875,0.607347876,0,3,1,0,
EMP100036,Ayunda Utama Lestari,Distribution,Brand Executive,R&D,Sales,Technology,V,S1,Economics,54,0.02020202,0.020408163,3,3,0.03030303,3,3,0.02020202,3,0.03030303,3,120,ESFJ,96,81,CD,28,3,7,7,7,4,2,6,2,0,,,7,6,,,9,6,9,0.875,5,4,Woo,Deliberative,Context,Positivity,Relator,0.362416107,2.8,0.848450057,0,5,1,0,
EMP100037,Nabila Ramadhan,Distribution,Supply Planner,Marketing,Operations,Commercial,IV,S1,Statistics,52,0.050505051,0.020408163,3,4,0.04040404,4,4,0.050505051,4,0.03030303,4,,ISTJ,45,41,,,1,8,6,4,9,4,1,5,0.25,9,2,2,8,0.75,2,1,8,1,1,2,8,Connectedness,Responsibility,Analytical,Context,Command,0.348993289,3.9,0.218140069,0,5,0.5,0,14.51134961
EMP100038,Bella Tri Setiawan,Plant,Supply Planner,Operations,Product Dev,HR & Corp Affairs,V,SMA,Design,50,0.03030303,0.020408163,4,4,0.04040404,4,5,0.04040404,4,0.050505051,,93,ESFP,28,51,IC,36,2,9,,4,9,5,1,1,0.5,9,3,2,4,0.25,6,5,2,9,0.625,6,3,Belief,Empathy,Focus,Ideation,,0.33557047,4,0.442020666,0,4,1,0,15.57571825
EMP100039,Budi Adi Permadi,HQ,HRBP,IT,Operations,HR & Corp Affairs,III,S2,Engineering,65,0.050505051,0.040816327,5,5,0.04040404,5,5,0.050505051,5,0.050505051,5,125,ISFP,51,52,SI,41,9,3,9,1,6,4,5,9,1,3,8,2,6,0.125,4,,2,9,0.625,7,5,Futuristic,Developer,Woo,Self-Assurance,Learner,0.436241611,4.9,0.676234214,1,5,0,2,46.97841413
EMP100040,Rifqi Putra,Distribution,HRBP,HR,Operations,Technology,IV,SMA,Design,81,0.02020202,,2,2,,3,1,0.02020202,2,0.02020202,2,112,ESTP,55,36,ID,24,10,1,7,3,6,9,3,3,0.875,7,2,7,1,,4,1,5,3,0.25,,2,Discipline,Self-Assurance,Learner,Analytical,Achiever,0.543624161,2,0.535017222,0,5,0.5,1,
EMP100041,Lestari Maulana,HQ,Finance Officer,R&D,Operations,Commercial,III,S1,Engineering,99,0.050505051,0.040816327,5,5,0.050505051,5,,0.04040404,5,0.050505051,5,86,ISTJ,53,32,IS,25,7,3,1,,7,4,3,3,0.75,9,4,,8,0.875,3,1,4,1,0.5,6,,Intellection,Connectedness,Significance,Deliberative,,0.66442953,4.888888889,0.417910448,1,4,0,1,32.40101506
EMP100042,Oka Lukman,Plant,Supply Planner,HR,Sales,HR & Corp Affairs,III,SMA,Economics,28,0.04040404,0.030612245,4,4,0.03030303,4,4,0.04040404,4,0.04040404,4,139,ENFP,63,43,CD,25,1,9,3,5,7,3,3,7,0.125,5,3,8,5,0.75,9,4,4,6,0.25,6,1,Command,Adaptability,Intellection,Positivity,Empathy,0.187919463,3.9,0.652123995,0,5,0,1,28.66911907
EMP100043,Nugroho Indrawan,HQ,Finance Officer,Marketing,Operations,HR & Corp Affairs,III,D3,Economics,40,0.04040404,0.030612245,5,4,0.050505051,5,5,0.04040404,4,0.050505051,4,,ESFJ,41,97,SD,,9,7,3,8,5,4,1,6,0.875,1,8,8,,0,8,2,5,3,0.875,,1,Learner,Individualization,Relator,Positivity,Communication,0.268456376,4.5,0.562571757,0,5,0,0,14.66491761
EMP100044,Indra Maulida,Store,Sales Supervisor,IT,Digital Marketing,HR & Corp Affairs,III,S1,Statistics,8,0.04040404,0.030612245,4,4,0.03030303,4,4,0.04040404,4,0.050505051,4,82,ESFP,74,44,ID,41,5,1,3,9,1,7,4,7,0.5,,9,4,3,0,7,7,4,4,0.375,7,3,Focus,Communication,Arranger,Competition,Self-Assurance,0.053691275,4,0.566016073,0,5,0,1,25.71770699
EMP100045,Dimas Mahendra,Plant,Data Analyst,IT,Sales,Commercial,V,D3,Psychology,38,0.03030303,0.020408163,3,,0.03030303,3,4,0.03030303,4,0.02020202,3,111,ISTJ,99,71,DS,23,1,9,8,3,2,8,8,6,0.875,1,7,3,9,,3,1,8,6,,8,2,Ideation,Positivity,Belief,Empathy,Significance,0.255033557,3.111111111,0.769230769,0,5,1,0,
EMP100046,Fitri Lestari,Store,Brand Executive,Marketing,Product Dev,Commercial,IV,S1,Statistics,64,0.02020202,0,1,3,0.02020202,3,2,0.03030303,1,0.02020202,2,,ISTJ,67,91,,,6,2,2,9,,4,6,8,0,8,1,1,7,0.125,7,3,8,6,0.375,4,6,Adaptability,Empathy,,Belief,Positivity,0.429530201,2,0.660160735,0,4,0.5,0,13.0156725
EMP100047,Hadi Pradana,HQ,Data Analyst,HR,Talent Management,Commercial,III,S2,Psychology,58,0.01010101,0,2,2,0.01010101,1,1,0.01010101,2,0.02020202,1,110,ISTJ,61,55,ID,22,1,3,8,9,7,2,3,3,,,4,9,6,0.25,5,4,6,1,0.5,8,7,Competition,Includer,Connectedness,,,0.389261745,1.4,0.576349024,0,3,0,0,
EMP100048,Adit Halim,Store,HRBP,Operations,Sales,Technology,III,SMA,Statistics,50,0.03030303,0.020408163,2,3,0,3,3,0.04040404,3,0.04040404,3,125,ESFJ,37,32,SI,36,1,3,2,6,5,2,1,9,0.625,1,7,5,1,0.25,3,9,5,5,0,3,,Relator,Context,Deliberative,Achiever,Intellection,0.33557047,2.8,0.51435132,0,5,0,1,26.15256015
EMP100049,Rizki Halim Siregar,Store,Sales Supervisor,Finance,Digital Marketing,Commercial,V,SMA,Statistics,35,0.050505051,0.030612245,4,4,0.04040404,3,4,0.050505051,4,0.050505051,4,133,INTP,94,30,DC,27,5,8,9,1,8,,2,5,0.375,2,2,6,4,0.125,5,1,3,6,0.25,5,7,Achiever,,Ideation,Strategic,Discipline,0.234899329,4.2,0.714121699,0,4,1,0,16.26894493
EMP100050,Joko Ridwan,Plant,HRBP,IT,Talent Management,Technology,III,S1,Design,69,0.050505051,,,5,0.050505051,5,5,0.050505051,5,0.050505051,5,131,,81,54,DC,32,6,5,8,8,2,3,1,2,,1,2,5,1,1,8,6,3,6,0.625,6,8,,Competition,Learner,Input,Futuristic,0.463087248,5,0.765786452,1,4,0,1,
EMP100051,Ari Mahardika Nugroho,Store,Sales Supervisor,Finance,Sales,Technology,III,S2,Psychology,98,0.01010101,0.020408163,1,2,0.03030303,,2,0.01010101,2,0.03030303,2,110,INFP,94,61,CS,36,7,2,1,3,6,1,4,1,0.875,1,8,7,9,0.25,4,8,,3,0.125,4,2,Analytical,Developer,Positivity,,Learner,0.657718121,2,0.77956372,0,4,0,0,16.18688705
EMP100052,Sari Yudhistira Mahendra,Store,HRBP,HR,Digital Marketing,HR & Corp Affairs,V,S2,Economics,23,0.050505051,,5,5,0.050505051,5,5,0.04040404,5,0.050505051,5,126,ISTJ,69,55,IC,36,10,3,3,3,7,3,5,6,0,4,,5,8,1,9,3,3,8,0,9,9,,Responsibility,Communication,Futuristic,Activator,0.154362416,4.888888889,0.738231917,1,4,1,2,
EMP100053,Anisa Pamungkas,Plant,Brand Executive,IT,Product Dev,Commercial,V,S2,Psychology,52,0.04040404,0.040816327,3,5,0.050505051,4,3,0.050505051,3,0.04040404,4,140,ISFJ,97,71,IS,23,5,8,3,8,9,3,,5,0,3,6,3,1,0,6,8,6,2,0.625,3,4,Self-Assurance,Positivity,Learner,Input,Includer,0.348993289,4.1,0.876004592,0,5,1,1,32.97927025
